,rno,name,gender,courses,marks1,marks2
28250,28251,Student28251,F,BTECH,38,57
28251,28252,Student28252,F,BTECH,36,34
28252,28253,Student28253,F,BTECH,43,60
28253,28254,Student28254,M,BTECH,10,29
28254,28255,Student28255,M,MBA,61,6
28255,28256,Student28256,M,MBA,24,92
28256,28257,Student28257,F,BBA,90,39
28257,28258,Student28258,F,BBA,33,6
28258,28259,Student28259,M,BTECH,68,79
28259,28260,Student28260,M,MTECH,84,70
28260,28261,Student28261,F,BBA,75,66
28261,28262,Student28262,F,MBA,49,40
28262,28263,Student28263,F,BTECH,26,51
28263,28264,Student28264,F,MTECH,0,87
28264,28265,Student28265,M,BTECH,42,62
28265,28266,Student28266,F,MBA,86,24
28266,28267,Student28267,F,BTECH,16,63
28267,28268,Student28268,M,BBA,27,92
28268,28269,Student28269,F,BTECH,25,30
28269,28270,Student28270,F,BBA,96,0
28270,28271,Student28271,M,BTECH,25,10
28271,28272,Student28272,M,BTECH,82,89
28272,28273,Student28273,F,MBA,73,90
28273,28274,Student28274,F,MTECH,4,16
28274,28275,Student28275,M,BTECH,95,16
28275,28276,Student28276,M,BBA,55,54
28276,28277,Student28277,F,MBA,93,58
28277,28278,Student28278,F,BBA,96,97
28278,28279,Student28279,M,MTECH,91,90
28279,28280,Student28280,F,MTECH,99,47
28280,28281,Student28281,F,MBA,53,14
28281,28282,Student28282,F,MBA,48,70
28282,28283,Student28283,M,MBA,17,16
28283,28284,Student28284,F,BTECH,10,98
28284,28285,Student28285,M,MBA,96,84
28285,28286,Student28286,F,MBA,69,19
28286,28287,Student28287,M,BTECH,93,65
28287,28288,Student28288,F,MTECH,100,65
28288,28289,Student28289,M,BBA,100,94
28289,28290,Student28290,F,BTECH,100,36
28290,28291,Student28291,F,BBA,87,28
28291,28292,Student28292,M,MBA,80,61
28292,28293,Student28293,M,MBA,62,20
28293,28294,Student28294,F,BTECH,49,3
28294,28295,Student28295,M,MBA,38,56
28295,28296,Student28296,M,BTECH,92,46
28296,28297,Student28297,M,BBA,86,80
28297,28298,Student28298,F,BTECH,29,11
28298,28299,Student28299,F,MTECH,86,2
28299,28300,Student28300,F,MTECH,91,61
28300,28301,Student28301,M,BBA,75,10
28301,28302,Student28302,F,BTECH,10,41
28302,28303,Student28303,M,BBA,17,87
28303,28304,Student28304,F,MTECH,42,63
28304,28305,Student28305,M,MTECH,26,67
28305,28306,Student28306,M,BBA,24,19
28306,28307,Student28307,M,MTECH,1,20
28307,28308,Student28308,F,MBA,87,54
28308,28309,Student28309,M,MTECH,62,75
28309,28310,Student28310,M,BTECH,23,85
28310,28311,Student28311,M,MBA,42,6
28311,28312,Student28312,M,MTECH,66,86
28312,28313,Student28313,F,BBA,9,49
28313,28314,Student28314,F,BTECH,78,60
28314,28315,Student28315,M,BTECH,93,8
28315,28316,Student28316,M,MBA,89,28
28316,28317,Student28317,F,MBA,18,58
28317,28318,Student28318,M,BBA,86,7
28318,28319,Student28319,F,MTECH,93,44
28319,28320,Student28320,M,MBA,23,68
28320,28321,Student28321,F,MTECH,13,72
28321,28322,Student28322,F,BBA,28,82
28322,28323,Student28323,M,BBA,52,1
28323,28324,Student28324,M,BTECH,46,55
28324,28325,Student28325,M,BBA,42,10
28325,28326,Student28326,F,BTECH,98,85
28326,28327,Student28327,M,BBA,22,10
28327,28328,Student28328,F,MTECH,33,58
28328,28329,Student28329,M,MTECH,98,14
28329,28330,Student28330,M,MTECH,79,45
28330,28331,Student28331,M,MTECH,30,14
28331,28332,Student28332,F,MTECH,45,89
28332,28333,Student28333,M,BTECH,53,23
28333,28334,Student28334,F,MBA,39,52
28334,28335,Student28335,M,BBA,49,83
28335,28336,Student28336,F,MBA,61,41
28336,28337,Student28337,M,MBA,63,36
28337,28338,Student28338,F,MTECH,49,41
28338,28339,Student28339,M,MBA,37,42
28339,28340,Student28340,M,MTECH,74,72
28340,28341,Student28341,F,MTECH,63,80
28341,28342,Student28342,M,MTECH,67,2
28342,28343,Student28343,M,BBA,35,88
28343,28344,Student28344,F,MTECH,100,32
28344,28345,Student28345,F,MTECH,25,23
28345,28346,Student28346,F,MBA,6,85
28346,28347,Student28347,F,MBA,6,7
28347,28348,Student28348,M,BTECH,84,93
28348,28349,Student28349,F,BTECH,61,11
28349,28350,Student28350,M,MBA,82,72
28350,28351,Student28351,F,BTECH,90,77
28351,28352,Student28352,F,BBA,29,57
28352,28353,Student28353,F,MTECH,73,68
28353,28354,Student28354,F,MTECH,43,24
28354,28355,Student28355,M,MTECH,98,51
28355,28356,Student28356,M,BBA,55,4
28356,28357,Student28357,F,BTECH,97,11
28357,28358,Student28358,F,MTECH,94,51
28358,28359,Student28359,M,BTECH,47,0
28359,28360,Student28360,M,BTECH,56,79
28360,28361,Student28361,F,BTECH,21,46
28361,28362,Student28362,M,BBA,82,63
28362,28363,Student28363,M,MBA,32,77
28363,28364,Student28364,F,BBA,64,33
28364,28365,Student28365,M,MTECH,89,76
28365,28366,Student28366,F,BBA,66,37
28366,28367,Student28367,M,MTECH,84,41
28367,28368,Student28368,F,BBA,20,18
28368,28369,Student28369,M,MBA,89,32
28369,28370,Student28370,F,MTECH,3,8
28370,28371,Student28371,F,MBA,63,65
28371,28372,Student28372,M,BTECH,28,70
28372,28373,Student28373,M,MBA,36,44
28373,28374,Student28374,M,BBA,11,38
28374,28375,Student28375,M,BBA,8,0
28375,28376,Student28376,F,MTECH,82,63
28376,28377,Student28377,M,BBA,92,9
28377,28378,Student28378,F,MBA,74,56
28378,28379,Student28379,M,MBA,54,90
28379,28380,Student28380,M,MTECH,55,64
28380,28381,Student28381,F,BTECH,85,43
28381,28382,Student28382,F,MBA,99,30
28382,28383,Student28383,M,MBA,16,68
28383,28384,Student28384,F,BTECH,27,33
28384,28385,Student28385,M,MTECH,43,63
28385,28386,Student28386,M,MTECH,58,1
28386,28387,Student28387,M,MTECH,47,82
28387,28388,Student28388,F,MTECH,54,57
28388,28389,Student28389,M,MTECH,71,10
28389,28390,Student28390,M,BBA,55,46
28390,28391,Student28391,M,BBA,14,70
28391,28392,Student28392,F,MBA,60,54
28392,28393,Student28393,F,MBA,69,53
28393,28394,Student28394,F,MBA,10,16
28394,28395,Student28395,F,MTECH,39,7
28395,28396,Student28396,M,MBA,47,33
28396,28397,Student28397,F,BBA,0,92
28397,28398,Student28398,M,BTECH,100,49
28398,28399,Student28399,F,MTECH,57,40
28399,28400,Student28400,F,BBA,93,98
28400,28401,Student28401,M,BBA,22,20
28401,28402,Student28402,F,BBA,19,16
28402,28403,Student28403,M,MTECH,85,28
28403,28404,Student28404,M,MBA,4,88
28404,28405,Student28405,M,MBA,64,77
28405,28406,Student28406,F,BTECH,61,5
28406,28407,Student28407,M,MTECH,89,11
28407,28408,Student28408,F,BTECH,55,63
28408,28409,Student28409,F,MBA,44,73
28409,28410,Student28410,F,BBA,10,66
28410,28411,Student28411,M,MBA,94,81
28411,28412,Student28412,M,BTECH,1,53
28412,28413,Student28413,M,MBA,26,48
28413,28414,Student28414,F,MTECH,4,2
28414,28415,Student28415,M,BTECH,1,100
28415,28416,Student28416,F,BTECH,84,73
28416,28417,Student28417,M,BBA,47,0
28417,28418,Student28418,F,MBA,4,41
28418,28419,Student28419,M,BTECH,27,10
28419,28420,Student28420,M,BTECH,55,16
28420,28421,Student28421,F,MBA,94,84
28421,28422,Student28422,F,BTECH,99,87
28422,28423,Student28423,M,BBA,38,78
28423,28424,Student28424,M,BTECH,28,44
28424,28425,Student28425,M,MTECH,4,53
28425,28426,Student28426,M,BTECH,91,98
28426,28427,Student28427,M,BBA,12,28
28427,28428,Student28428,F,BBA,97,22
28428,28429,Student28429,M,BBA,100,8
28429,28430,Student28430,M,BBA,95,92
28430,28431,Student28431,F,MBA,24,35
28431,28432,Student28432,M,BTECH,65,19
28432,28433,Student28433,F,MTECH,85,90
28433,28434,Student28434,F,MTECH,4,77
28434,28435,Student28435,F,MTECH,58,18
28435,28436,Student28436,F,BTECH,40,98
28436,28437,Student28437,M,BTECH,92,57
28437,28438,Student28438,F,BTECH,16,13
28438,28439,Student28439,M,MBA,69,14
28439,28440,Student28440,M,MTECH,14,31
28440,28441,Student28441,M,MTECH,7,57
28441,28442,Student28442,F,BTECH,43,82
28442,28443,Student28443,M,BBA,88,6
28443,28444,Student28444,F,MTECH,33,69
28444,28445,Student28445,F,MTECH,97,53
28445,28446,Student28446,F,BBA,28,10
28446,28447,Student28447,F,BTECH,39,4
28447,28448,Student28448,M,BBA,83,28
28448,28449,Student28449,M,MBA,73,33
28449,28450,Student28450,M,BBA,64,59
28450,28451,Student28451,M,MBA,76,20
28451,28452,Student28452,F,BTECH,18,93
28452,28453,Student28453,M,MTECH,18,62
28453,28454,Student28454,M,BTECH,23,99
28454,28455,Student28455,M,MBA,28,16
28455,28456,Student28456,F,BBA,54,54
28456,28457,Student28457,F,MBA,94,28
28457,28458,Student28458,F,MBA,41,29
28458,28459,Student28459,M,BBA,4,69
28459,28460,Student28460,M,BBA,48,58
28460,28461,Student28461,M,MBA,77,25
28461,28462,Student28462,M,BTECH,7,97
28462,28463,Student28463,F,BBA,62,41
28463,28464,Student28464,M,BTECH,6,70
28464,28465,Student28465,F,BTECH,65,99
28465,28466,Student28466,F,MTECH,49,26
28466,28467,Student28467,M,BTECH,97,42
28467,28468,Student28468,M,MBA,82,22
28468,28469,Student28469,F,MBA,94,88
28469,28470,Student28470,F,BTECH,36,53
28470,28471,Student28471,M,MTECH,37,28
28471,28472,Student28472,F,MTECH,32,69
28472,28473,Student28473,F,BBA,78,80
28473,28474,Student28474,M,BBA,20,38
28474,28475,Student28475,F,BTECH,28,98
28475,28476,Student28476,M,BBA,97,15
28476,28477,Student28477,F,MBA,97,40
28477,28478,Student28478,M,MBA,32,47
28478,28479,Student28479,M,MBA,41,5
28479,28480,Student28480,F,BBA,71,82
28480,28481,Student28481,F,MBA,8,12
28481,28482,Student28482,M,BBA,77,74
28482,28483,Student28483,F,BBA,25,30
28483,28484,Student28484,M,MTECH,85,62
28484,28485,Student28485,F,MBA,29,62
28485,28486,Student28486,M,BTECH,76,55
28486,28487,Student28487,M,MTECH,46,4
28487,28488,Student28488,F,BTECH,39,9
28488,28489,Student28489,F,MBA,5,100
28489,28490,Student28490,F,MBA,3,48
28490,28491,Student28491,M,BTECH,32,98
28491,28492,Student28492,F,BTECH,34,63
28492,28493,Student28493,F,MBA,83,57
28493,28494,Student28494,F,BBA,5,75
28494,28495,Student28495,F,BBA,66,86
28495,28496,Student28496,M,MBA,89,31
28496,28497,Student28497,F,MBA,8,87
28497,28498,Student28498,M,BTECH,70,21
28498,28499,Student28499,F,MTECH,19,58
28499,28500,Student28500,F,BBA,48,22
28500,28501,Student28501,M,BTECH,16,24
28501,28502,Student28502,M,MTECH,89,83
28502,28503,Student28503,F,BTECH,31,65
28503,28504,Student28504,M,MBA,25,51
28504,28505,Student28505,F,BTECH,43,3
28505,28506,Student28506,M,MTECH,47,64
28506,28507,Student28507,F,MBA,41,78
28507,28508,Student28508,M,MBA,89,74
28508,28509,Student28509,M,MTECH,80,61
28509,28510,Student28510,M,MTECH,0,46
28510,28511,Student28511,M,BBA,16,22
28511,28512,Student28512,F,MTECH,100,40
28512,28513,Student28513,M,MBA,60,11
28513,28514,Student28514,M,BTECH,99,8
28514,28515,Student28515,M,MTECH,8,66
28515,28516,Student28516,M,MTECH,32,67
28516,28517,Student28517,M,BBA,73,38
28517,28518,Student28518,M,BTECH,23,55
28518,28519,Student28519,F,MBA,4,85
28519,28520,Student28520,M,MTECH,40,3
28520,28521,Student28521,F,BTECH,20,69
28521,28522,Student28522,M,BBA,18,24
28522,28523,Student28523,F,BBA,19,90
28523,28524,Student28524,F,BBA,19,72
28524,28525,Student28525,F,BTECH,66,74
28525,28526,Student28526,F,MBA,53,72
28526,28527,Student28527,M,MBA,7,7
28527,28528,Student28528,F,BBA,1,14
28528,28529,Student28529,M,MBA,18,98
28529,28530,Student28530,F,MTECH,77,89
28530,28531,Student28531,M,BBA,66,62
28531,28532,Student28532,F,BBA,98,4
28532,28533,Student28533,F,MTECH,31,39
28533,28534,Student28534,F,MTECH,40,22
28534,28535,Student28535,M,BBA,99,18
28535,28536,Student28536,F,BTECH,51,59
28536,28537,Student28537,M,MBA,69,8
28537,28538,Student28538,F,MTECH,25,68
28538,28539,Student28539,F,MBA,9,15
28539,28540,Student28540,F,BTECH,31,51
28540,28541,Student28541,F,MBA,19,10
28541,28542,Student28542,M,BTECH,34,19
28542,28543,Student28543,M,MBA,67,97
28543,28544,Student28544,M,BBA,6,66
28544,28545,Student28545,M,BBA,65,21
28545,28546,Student28546,M,BBA,35,66
28546,28547,Student28547,M,BTECH,93,1
28547,28548,Student28548,M,MBA,1,10
28548,28549,Student28549,F,BBA,10,9
28549,28550,Student28550,F,BTECH,33,96
28550,28551,Student28551,M,BBA,85,54
28551,28552,Student28552,F,BBA,35,21
28552,28553,Student28553,F,BTECH,52,91
28553,28554,Student28554,M,MTECH,62,76
28554,28555,Student28555,M,MBA,53,90
28555,28556,Student28556,M,MTECH,82,53
28556,28557,Student28557,M,BBA,28,13
28557,28558,Student28558,F,BBA,93,13
28558,28559,Student28559,F,MBA,91,22
28559,28560,Student28560,F,MBA,52,18
28560,28561,Student28561,F,MTECH,49,0
28561,28562,Student28562,M,MTECH,17,49
28562,28563,Student28563,M,MBA,61,69
28563,28564,Student28564,M,BBA,25,82
28564,28565,Student28565,M,BTECH,45,55
28565,28566,Student28566,F,BTECH,86,89
28566,28567,Student28567,M,BBA,91,73
28567,28568,Student28568,M,MBA,7,69
28568,28569,Student28569,M,BBA,9,72
28569,28570,Student28570,F,BTECH,35,50
28570,28571,Student28571,M,MTECH,38,11
28571,28572,Student28572,F,BTECH,12,53
28572,28573,Student28573,F,MTECH,68,86
28573,28574,Student28574,M,MTECH,63,89
28574,28575,Student28575,M,BTECH,89,19
28575,28576,Student28576,F,MBA,4,35
28576,28577,Student28577,F,MTECH,9,82
28577,28578,Student28578,F,BTECH,21,40
28578,28579,Student28579,F,MBA,2,83
28579,28580,Student28580,F,BTECH,27,16
28580,28581,Student28581,F,BBA,29,47
28581,28582,Student28582,F,BBA,90,85
28582,28583,Student28583,M,BTECH,81,56
28583,28584,Student28584,M,MBA,26,83
28584,28585,Student28585,M,MTECH,100,82
28585,28586,Student28586,F,MBA,90,21
28586,28587,Student28587,M,MBA,63,81
28587,28588,Student28588,M,MTECH,2,67
28588,28589,Student28589,F,BBA,32,40
28589,28590,Student28590,M,BTECH,49,38
28590,28591,Student28591,F,MTECH,31,31
28591,28592,Student28592,M,MBA,32,97
28592,28593,Student28593,M,BTECH,32,52
28593,28594,Student28594,F,BTECH,87,65
28594,28595,Student28595,M,BBA,4,46
28595,28596,Student28596,M,BBA,1,43
28596,28597,Student28597,M,BBA,72,54
28597,28598,Student28598,M,MTECH,63,58
28598,28599,Student28599,F,MTECH,64,70
28599,28600,Student28600,F,MBA,48,34
28600,28601,Student28601,F,MBA,83,30
28601,28602,Student28602,M,BBA,41,16
28602,28603,Student28603,M,MBA,56,98
28603,28604,Student28604,F,BBA,53,13
28604,28605,Student28605,M,BBA,35,54
28605,28606,Student28606,F,BBA,67,1
28606,28607,Student28607,M,MTECH,3,92
28607,28608,Student28608,F,MTECH,70,36
28608,28609,Student28609,M,MBA,100,60
28609,28610,Student28610,M,MTECH,44,48
28610,28611,Student28611,M,MBA,64,25
28611,28612,Student28612,M,BTECH,19,20
28612,28613,Student28613,F,MTECH,72,35
28613,28614,Student28614,F,BTECH,76,46
28614,28615,Student28615,F,BTECH,85,31
28615,28616,Student28616,F,BBA,32,57
28616,28617,Student28617,M,BBA,30,90
28617,28618,Student28618,F,MBA,11,57
28618,28619,Student28619,F,BTECH,26,94
28619,28620,Student28620,M,MBA,25,57
28620,28621,Student28621,M,BTECH,99,29
28621,28622,Student28622,M,BTECH,65,76
28622,28623,Student28623,M,BBA,41,75
28623,28624,Student28624,M,BTECH,98,59
28624,28625,Student28625,F,MBA,93,2
28625,28626,Student28626,F,BBA,73,39
28626,28627,Student28627,F,MTECH,85,88
28627,28628,Student28628,F,BBA,55,43
28628,28629,Student28629,M,BBA,81,90
28629,28630,Student28630,F,BTECH,61,4
28630,28631,Student28631,F,MTECH,55,49
28631,28632,Student28632,F,MTECH,36,13
28632,28633,Student28633,F,BBA,92,2
28633,28634,Student28634,M,MTECH,10,90
28634,28635,Student28635,M,MBA,72,8
28635,28636,Student28636,M,MBA,43,18
28636,28637,Student28637,F,BTECH,47,62
28637,28638,Student28638,M,BTECH,29,52
28638,28639,Student28639,M,MTECH,71,14
28639,28640,Student28640,F,MBA,64,27
28640,28641,Student28641,M,BBA,95,34
28641,28642,Student28642,F,BTECH,47,52
28642,28643,Student28643,F,MBA,12,10
28643,28644,Student28644,M,MTECH,29,35
28644,28645,Student28645,F,MBA,62,13
28645,28646,Student28646,F,MTECH,4,84
28646,28647,Student28647,M,MTECH,9,16
28647,28648,Student28648,F,MBA,86,10
28648,28649,Student28649,F,MTECH,22,37
28649,28650,Student28650,F,MBA,19,50
28650,28651,Student28651,M,MTECH,6,39
28651,28652,Student28652,F,BBA,70,91
28652,28653,Student28653,M,MTECH,53,60
28653,28654,Student28654,F,MTECH,85,6
28654,28655,Student28655,M,MBA,56,69
28655,28656,Student28656,M,MBA,6,51
28656,28657,Student28657,F,BBA,59,67
28657,28658,Student28658,M,BBA,47,26
28658,28659,Student28659,M,MBA,3,81
28659,28660,Student28660,F,MBA,60,71
28660,28661,Student28661,M,BBA,21,19
28661,28662,Student28662,M,MTECH,78,74
28662,28663,Student28663,F,BBA,96,19
28663,28664,Student28664,F,BBA,91,19
28664,28665,Student28665,M,BTECH,39,16
28665,28666,Student28666,M,BTECH,18,26
28666,28667,Student28667,M,MBA,74,53
28667,28668,Student28668,F,BBA,67,97
28668,28669,Student28669,M,BTECH,43,17
28669,28670,Student28670,M,MTECH,63,28
28670,28671,Student28671,F,BBA,77,55
28671,28672,Student28672,M,BTECH,28,58
28672,28673,Student28673,F,BBA,99,67
28673,28674,Student28674,F,BTECH,73,34
28674,28675,Student28675,M,BBA,44,69
28675,28676,Student28676,F,MTECH,98,39
28676,28677,Student28677,M,MBA,84,71
28677,28678,Student28678,M,MTECH,10,54
28678,28679,Student28679,F,MTECH,55,7
28679,28680,Student28680,F,BBA,1,64
28680,28681,Student28681,F,BTECH,45,80
28681,28682,Student28682,F,MTECH,26,93
28682,28683,Student28683,M,MBA,11,72
28683,28684,Student28684,M,BBA,75,2
28684,28685,Student28685,M,BTECH,95,13
28685,28686,Student28686,M,MBA,28,70
28686,28687,Student28687,M,MTECH,34,36
28687,28688,Student28688,F,BBA,26,37
28688,28689,Student28689,M,MTECH,88,23
28689,28690,Student28690,F,MBA,87,77
28690,28691,Student28691,F,BBA,20,68
28691,28692,Student28692,F,BTECH,2,76
28692,28693,Student28693,M,BBA,41,79
28693,28694,Student28694,M,MBA,71,98
28694,28695,Student28695,M,MBA,13,85
28695,28696,Student28696,M,MBA,14,45
28696,28697,Student28697,M,MTECH,96,98
28697,28698,Student28698,M,MTECH,25,98
28698,28699,Student28699,F,MBA,98,50
28699,28700,Student28700,M,MTECH,86,42
28700,28701,Student28701,F,MBA,60,55
28701,28702,Student28702,M,BBA,46,65
28702,28703,Student28703,M,BTECH,39,49
28703,28704,Student28704,F,MBA,100,74
28704,28705,Student28705,F,BBA,9,88
28705,28706,Student28706,F,MTECH,85,61
28706,28707,Student28707,M,MBA,23,66
28707,28708,Student28708,M,MBA,4,10
28708,28709,Student28709,F,BTECH,84,37
28709,28710,Student28710,M,MBA,21,55
28710,28711,Student28711,M,MBA,47,18
28711,28712,Student28712,F,MTECH,25,5
28712,28713,Student28713,F,BBA,99,49
28713,28714,Student28714,F,MTECH,24,45
28714,28715,Student28715,M,BBA,9,72
28715,28716,Student28716,F,MTECH,43,74
28716,28717,Student28717,M,BTECH,19,47
28717,28718,Student28718,M,BTECH,86,100
28718,28719,Student28719,M,BTECH,65,27
28719,28720,Student28720,M,MBA,61,20
28720,28721,Student28721,M,MTECH,10,57
28721,28722,Student28722,M,MBA,5,61
28722,28723,Student28723,M,MTECH,13,80
28723,28724,Student28724,F,MBA,29,24
28724,28725,Student28725,M,MBA,3,2
28725,28726,Student28726,F,MBA,51,13
28726,28727,Student28727,M,BBA,68,52
28727,28728,Student28728,F,BTECH,67,25
28728,28729,Student28729,F,MBA,62,96
28729,28730,Student28730,M,MBA,59,20
28730,28731,Student28731,M,BTECH,42,42
28731,28732,Student28732,M,BBA,71,100
28732,28733,Student28733,M,MTECH,15,0
28733,28734,Student28734,M,MBA,97,56
28734,28735,Student28735,F,MBA,21,70
28735,28736,Student28736,F,BBA,59,4
28736,28737,Student28737,M,MTECH,96,94
28737,28738,Student28738,F,MBA,0,81
28738,28739,Student28739,F,MBA,9,57
28739,28740,Student28740,M,BBA,9,49
28740,28741,Student28741,F,MTECH,46,17
28741,28742,Student28742,M,MTECH,81,34
28742,28743,Student28743,F,BTECH,71,80
28743,28744,Student28744,M,BTECH,85,51
28744,28745,Student28745,F,MTECH,58,56
28745,28746,Student28746,M,MTECH,37,40
28746,28747,Student28747,F,BBA,84,16
28747,28748,Student28748,M,BTECH,69,64
28748,28749,Student28749,F,MTECH,82,93
28749,28750,Student28750,M,MTECH,5,37
28750,28751,Student28751,M,BTECH,67,19
28751,28752,Student28752,M,BBA,37,54
28752,28753,Student28753,M,BTECH,96,90
28753,28754,Student28754,M,MBA,95,31
28754,28755,Student28755,F,MTECH,17,10
28755,28756,Student28756,F,BTECH,26,78
28756,28757,Student28757,M,BBA,91,6
28757,28758,Student28758,M,BBA,32,95
28758,28759,Student28759,F,BTECH,5,71
28759,28760,Student28760,F,BTECH,0,57
28760,28761,Student28761,F,BTECH,46,29
28761,28762,Student28762,F,MBA,44,34
28762,28763,Student28763,M,BBA,54,16
28763,28764,Student28764,F,MTECH,63,21
28764,28765,Student28765,M,BTECH,8,71
28765,28766,Student28766,M,BTECH,75,85
28766,28767,Student28767,M,MTECH,15,96
28767,28768,Student28768,M,BTECH,33,64
28768,28769,Student28769,M,BBA,29,38
28769,28770,Student28770,F,MBA,90,10
28770,28771,Student28771,F,MTECH,89,33
28771,28772,Student28772,F,BBA,79,41
28772,28773,Student28773,M,BTECH,11,75
28773,28774,Student28774,F,MTECH,36,95
28774,28775,Student28775,F,BTECH,14,35
28775,28776,Student28776,M,MBA,23,26
28776,28777,Student28777,F,MTECH,66,70
28777,28778,Student28778,F,BBA,63,14
28778,28779,Student28779,M,BBA,40,59
28779,28780,Student28780,F,MBA,93,19
28780,28781,Student28781,F,BBA,48,53
28781,28782,Student28782,M,MBA,5,52
28782,28783,Student28783,F,BTECH,83,40
28783,28784,Student28784,F,MTECH,9,4
28784,28785,Student28785,M,MTECH,24,4
28785,28786,Student28786,M,BBA,19,79
28786,28787,Student28787,M,BBA,14,47
28787,28788,Student28788,F,MTECH,59,49
28788,28789,Student28789,F,MBA,30,28
28789,28790,Student28790,M,BTECH,3,23
28790,28791,Student28791,F,BBA,86,8
28791,28792,Student28792,M,MTECH,7,85
28792,28793,Student28793,M,BBA,31,61
28793,28794,Student28794,M,BTECH,21,14
28794,28795,Student28795,F,BTECH,66,92
28795,28796,Student28796,F,BBA,56,79
28796,28797,Student28797,F,BBA,53,84
28797,28798,Student28798,M,MTECH,5,52
28798,28799,Student28799,F,BTECH,36,2
28799,28800,Student28800,M,BBA,68,62
28800,28801,Student28801,F,MBA,78,35
28801,28802,Student28802,F,BTECH,85,26
28802,28803,Student28803,F,MBA,28,10
28803,28804,Student28804,F,BTECH,97,22
28804,28805,Student28805,M,MBA,16,32
28805,28806,Student28806,F,MBA,4,22
28806,28807,Student28807,M,MBA,40,66
28807,28808,Student28808,F,MBA,81,88
28808,28809,Student28809,F,BBA,36,32
28809,28810,Student28810,M,MBA,0,27
28810,28811,Student28811,F,MBA,53,65
28811,28812,Student28812,M,MBA,67,12
28812,28813,Student28813,F,BTECH,39,79
28813,28814,Student28814,M,MBA,76,56
28814,28815,Student28815,F,BBA,94,77
28815,28816,Student28816,M,BTECH,83,69
28816,28817,Student28817,M,MBA,69,14
28817,28818,Student28818,M,MBA,30,16
28818,28819,Student28819,M,MBA,69,63
28819,28820,Student28820,M,BTECH,71,22
28820,28821,Student28821,M,MTECH,45,30
28821,28822,Student28822,M,MTECH,50,67
28822,28823,Student28823,M,MBA,29,18
28823,28824,Student28824,M,BBA,39,12
28824,28825,Student28825,F,MTECH,84,80
28825,28826,Student28826,F,BBA,69,27
28826,28827,Student28827,F,BTECH,87,25
28827,28828,Student28828,M,BTECH,5,33
28828,28829,Student28829,F,BTECH,9,89
28829,28830,Student28830,F,BTECH,65,51
28830,28831,Student28831,M,MTECH,1,24
28831,28832,Student28832,F,BBA,13,97
28832,28833,Student28833,M,MTECH,91,43
28833,28834,Student28834,M,MBA,98,88
28834,28835,Student28835,M,MTECH,52,74
28835,28836,Student28836,F,MBA,51,71
28836,28837,Student28837,M,MBA,63,93
28837,28838,Student28838,F,BBA,37,34
28838,28839,Student28839,F,BBA,58,52
28839,28840,Student28840,M,MTECH,74,38
28840,28841,Student28841,M,BBA,67,21
28841,28842,Student28842,M,BTECH,65,46
28842,28843,Student28843,F,BBA,49,70
28843,28844,Student28844,M,BBA,29,68
28844,28845,Student28845,M,BTECH,23,3
28845,28846,Student28846,F,MTECH,20,40
28846,28847,Student28847,F,BTECH,14,45
28847,28848,Student28848,M,BBA,4,67
28848,28849,Student28849,F,MTECH,73,86
28849,28850,Student28850,F,MTECH,59,30
28850,28851,Student28851,F,BBA,23,1
28851,28852,Student28852,F,MTECH,15,61
28852,28853,Student28853,M,MTECH,4,41
28853,28854,Student28854,M,MTECH,35,6
28854,28855,Student28855,F,BTECH,88,86
28855,28856,Student28856,M,MBA,87,20
28856,28857,Student28857,F,BTECH,85,20
28857,28858,Student28858,M,BTECH,43,63
28858,28859,Student28859,F,BTECH,17,81
28859,28860,Student28860,M,MBA,57,58
28860,28861,Student28861,F,BTECH,80,97
28861,28862,Student28862,M,MTECH,47,46
28862,28863,Student28863,F,BBA,71,89
28863,28864,Student28864,F,BBA,61,4
28864,28865,Student28865,M,BBA,78,76
28865,28866,Student28866,F,MBA,64,15
28866,28867,Student28867,M,MBA,49,73
28867,28868,Student28868,M,MBA,79,76
28868,28869,Student28869,F,MTECH,44,9
28869,28870,Student28870,F,MTECH,1,19
28870,28871,Student28871,M,MTECH,8,90
28871,28872,Student28872,M,MTECH,51,98
28872,28873,Student28873,F,BBA,41,38
28873,28874,Student28874,M,BTECH,11,42
28874,28875,Student28875,M,BTECH,26,84
28875,28876,Student28876,F,MBA,100,65
28876,28877,Student28877,F,MBA,89,0
28877,28878,Student28878,F,MTECH,66,85
28878,28879,Student28879,M,BBA,98,78
28879,28880,Student28880,F,BBA,77,54
28880,28881,Student28881,M,MTECH,1,89
28881,28882,Student28882,F,MTECH,99,17
28882,28883,Student28883,M,BTECH,76,42
28883,28884,Student28884,M,BBA,40,77
28884,28885,Student28885,F,BBA,17,0
28885,28886,Student28886,M,BBA,14,32
28886,28887,Student28887,M,MTECH,89,23
28887,28888,Student28888,F,BBA,85,7
28888,28889,Student28889,F,BTECH,92,80
28889,28890,Student28890,M,MBA,0,81
28890,28891,Student28891,F,MTECH,11,94
28891,28892,Student28892,F,BBA,83,2
28892,28893,Student28893,M,BBA,30,17
28893,28894,Student28894,M,BTECH,94,62
28894,28895,Student28895,F,MBA,16,34
28895,28896,Student28896,M,MTECH,4,61
28896,28897,Student28897,M,MTECH,88,46
28897,28898,Student28898,M,BTECH,24,33
28898,28899,Student28899,M,BBA,60,80
28899,28900,Student28900,M,BBA,62,31
